order_id,branch,city,date,item,category,quantity,revenue,order_value,week_start,footfall_count
1001,KHI-01,Karachi,2026-05-25,Zinger Wrap,Wraps,1,546.2,546.2,2026-05-25,1439
1002,KHI-01,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1238.86,1238.86,2026-05-25,1439
1003,KHI-01,Karachi,2026-05-25,Beef Biryani,Rice,3,1549.66,1549.66,2026-05-25,1439
1004,KHI-01,Karachi,2026-05-25,Chapli Kabab,BBQ,1,691.8,691.8,2026-05-25,1439
1005,KHI-01,Karachi,2026-05-25,Fries,Sides,1,247.07,247.07,2026-05-25,1439
1006,KHI-01,Karachi,2026-05-25,Zinger Burger,Burgers,1,701.32,701.32,2026-05-25,1439
1007,KHI-01,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1246.05,1246.05,2026-05-25,1439
1008,KHI-01,Karachi,2026-05-25,Zinger Burger,Burgers,2,1269.48,1269.48,2026-05-25,1439
1009,KHI-01,Karachi,2026-05-25,Chicken Karahi,Main Course,3,3697.66,3697.66,2026-05-25,1439
1010,KHI-01,Karachi,2026-05-25,Fries,Sides,1,244.21,244.21,2026-05-25,1439
1011,KHI-01,Karachi,2026-05-25,Soft Drink,Beverages,2,234.41,234.41,2026-05-25,1439
1012,KHI-01,Karachi,2026-05-25,Nihari,Main Course,1,961.49,961.49,2026-05-25,1439
1013,KHI-01,Karachi,2026-05-25,Beef Biryani,Rice,3,1302.24,1302.24,2026-05-25,1439
1014,KHI-01,Karachi,2026-05-25,Fries,Sides,1,228.44,228.44,2026-05-25,1439
1015,KHI-01,Karachi,2026-05-25,Nihari,Main Course,1,923.29,923.29,2026-05-25,1439
1016,KHI-01,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1139.23,1139.23,2026-05-25,1439
1017,KHI-01,Karachi,2026-05-25,Zinger Wrap,Wraps,1,558.64,558.64,2026-05-25,1439
1018,KHI-01,Karachi,2026-05-25,Chapli Kabab,BBQ,1,668.22,668.22,2026-05-25,1439
1019,KHI-01,Karachi,2026-05-25,Nihari,Main Course,1,882.92,882.92,2026-05-25,1439
1020,KHI-02,Karachi,2026-05-25,Soft Drink,Beverages,2,237.29,237.29,2026-05-25,1307
1021,KHI-02,Karachi,2026-05-25,Nihari,Main Course,1,953.21,953.21,2026-05-25,1307
1022,KHI-02,Karachi,2026-05-25,Nihari,Main Course,3,2646.97,2646.97,2026-05-25,1307
1023,KHI-02,Karachi,2026-05-25,Chapli Kabab,BBQ,2,1361.89,1361.89,2026-05-25,1307
1024,KHI-02,Karachi,2026-05-25,Chicken Karahi,Main Course,3,3619.97,3619.97,2026-05-25,1307
1025,KHI-02,Karachi,2026-05-25,Zinger Wrap,Wraps,1,518.35,518.35,2026-05-25,1307
1026,KHI-02,Karachi,2026-05-25,Nihari,Main Course,1,967.85,967.85,2026-05-25,1307
1027,KHI-02,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1163.96,1163.96,2026-05-25,1307
1028,KHI-02,Karachi,2026-05-25,Fries,Sides,1,246.35,246.35,2026-05-25,1307
1029,KHI-02,Karachi,2026-05-25,Soft Drink,Beverages,3,,349.17,2026-05-25,1307
1030,KHI-02,Karachi,2026-05-25,Chapli Kabab,BBQ,1,764.83,764.83,2026-05-25,1307
1031,KHI-02,Karachi,2026-05-25,Chapli Kabab,BBQ,1,699.53,699.53,2026-05-25,1307
1032,KHI-02,Karachi,2026-05-25,Chicken Karahi,Main Course,3,3409.61,3409.61,2026-05-25,1307
1033,KHI-02,Karachi,2026-05-25,Nihari,Main Course,3,2967.21,2967.21,2026-05-25,1307
1034,KHI-02,Karachi,2026-05-25,Beef Biryani,Rice,2,901.4,901.4,2026-05-25,1307
1035,KHI-02,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1212.53,1212.53,2026-05-25,1307
1036,KHI-02,Karachi,2026-05-25,Soft Drink,Beverages,2,216.48,216.48,2026-05-25,1307
1037,KHI-02,Karachi,2026-05-25,Nihari,Main Course,3,2660.73,2660.73,2026-05-25,1307
1038,KHI-02,Karachi,2026-05-25,Chicken Karahi,Main Course,3,3635.44,3635.44,2026-05-25,1307
1039,KHI-02,Karachi,2026-05-25,Chapli Kabab,BBQ,1,725.85,725.85,2026-05-25,1307
1040,KHI-03,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1193.06,1193.06,2026-05-25,1098
1041,KHI-03,Karachi,2026-05-25,Chapli Kabab,BBQ,2,1378.92,1378.92,2026-05-25,1098
1042,KHI-03,Karachi,2026-05-25,Nihari,Main Course,1,879.77,879.77,2026-05-25,1098
1043,KHI-03,Karachi,2026-05-25,Chicken Karahi,Main Course,2,2313.62,2313.62,2026-05-25,1098
1044,KHI-03,Karachi,2026-05-25,Chapli Kabab,BBQ,1,683.88,683.88,2026-05-25,1098
1045,KHI-03,Karachi,2026-05-25,Soft Drink,Beverages,2,252.69,252.69,2026-05-25,1098
1046,KHI-03,Karachi,2026-05-25,Soft Drink,Beverages,1,122.06,122.06,2026-05-25,1098
1047,KHI-03,Karachi,2026-05-25,Nihari,Main Course,1,866.26,866.26,2026-05-25,1098
1048,KHI-03,Karachi,2026-05-25,Chicken Karahi,Main Course,3,3658.34,3658.34,2026-05-25,1098
1049,KHI-03,Karachi,2026-05-25,Nihari,Main Course,3,2795.13,2795.13,2026-05-25,1098
1050,KHI-03,Karachi,2026-05-25,Fries,Sides,2,483.08,483.08,2026-05-25,1098
1051,KHI-03,Karachi,2026-05-25,Fries,Sides,1,257.65,257.65,2026-05-25,1098
1052,KHI-03,Karachi,2026-05-25,Chicken Karahi,Main Course,1,1261.86,1261.86,2026-05-25,1098
1053,KHI-03,Karachi,2026-05-25,Soft Drink,Beverages,1,125.59,125.59,2026-05-25,1098
1054,LHR-01,Lahore,2026-05-25,Zinger Burger,Burgers,1,639.95,639.95,2026-05-25,1503
1055,LHR-01,Lahore,2026-05-25,Beef Biryani,Rice,3,1463.85,1463.85,2026-05-25,1503
1056,LHR-01,Lahore,2026-05-25,Beef Biryani,Rice,3,1510.24,1510.24,2026-05-25,1503
1057,LHR-01,Lahore,2026-05-25,Fries,Sides,2,488.02,488.02,2026-05-25,1503
1058,LHR-01,Lahore,2026-05-25,Zinger Wrap,Wraps,2,1089.79,1089.79,2026-05-25,1503
1059,LHR-01,Lahore,2026-05-25,Soft Drink,Beverages,2,226.72,226.72,2026-05-25,1503
1060,LHR-01,Lahore,2026-05-25,Nihari,Main Course,2,1786.36,1786.36,2026-05-25,1503
1061,LHR-01,Lahore,2026-05-25,Zinger Burger,Burgers,3,2029.22,2029.22,2026-05-25,1503
1062,LHR-01,Lahore,2026-05-25,Zinger Wrap,Wraps,2,1174.59,1174.59,2026-05-25,1503
1063,LHR-01,Lahore,2026-05-25,Nihari,Main Course,3,2839.74,2839.74,2026-05-25,1503
1064,LHR-01,Lahore,2026-05-25,Chapli Kabab,BBQ,1,735.12,735.12,2026-05-25,1503
1065,LHR-01,Lahore,2026-05-25,Nihari,Main Course,2,1934.36,1934.36,2026-05-25,1503
1066,LHR-01,Lahore,2026-05-25,Beef Biryani,Rice,2,929.03,929.03,2026-05-25,1503
1067,LHR-01,Lahore,2026-05-25,Zinger Burger,Burgers,3,1985.24,1985.24,2026-05-25,1503
1068,LHR-01,Lahore,2026-05-25,Nihari,Main Course,2,2046.11,2046.11,2026-05-25,1503
1069,LHR-01,Lahore,2026-05-25,Beef Biryani,Rice,2,958.28,958.28,2026-05-25,1503
1070,LHR-01,Lahore,2026-05-25,Chicken Karahi,Main Course,3,3881.64,3881.64,2026-05-25,1503
1071,LHR-02,Lahore,2026-05-25,Chicken Karahi,Main Course,1,1249.31,1249.31,2026-05-25,1093
1072,LHR-02,Lahore,2026-05-25,Chapli Kabab,BBQ,1,703.05,703.05,2026-05-25,1093
1073,LHR-02,Lahore,2026-05-25,Zinger Burger,Burgers,2,1280.56,1280.56,2026-05-25,1093
1074,LHR-02,Lahore,2026-05-25,Chapli Kabab,BBQ,2,1406.42,1406.42,2026-05-25,1093
1075,LHR-02,Lahore,2026-05-25,Zinger Burger,Burgers,1,585.4,585.4,2026-05-25,1093
1076,LHR-02,Lahore,2026-05-25,Chapli Kabab,BBQ,1,692.31,692.31,2026-05-25,1093
1077,LHR-02,Lahore,2026-05-25,Chicken Karahi,Main Course,1,1221.43,1221.43,2026-05-25,1093
1078,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,2,2337.81,2337.81,2026-05-25,1008
1079,LHR-03,Lahore,2026-05-25,Zinger Wrap,Wraps,2,1055.53,1055.53,2026-05-25,1008
1080,LHR-03,Lahore,2026-05-25,Chapli Kabab,BBQ,1,682.44,682.44,2026-05-25,1008
1081,LHR-03,Lahore,2026-05-25,Beef Biryani,Rice,3,1505.91,1505.91,2026-05-25,1008
1082,LHR-03,Lahore,2026-05-25,Soft Drink,Beverages,2,243.95,243.95,2026-05-25,1008
1083,LHR-03,Lahore,2026-05-25,Beef Biryani,Rice,1,467.29,467.29,2026-05-25,1008
1084,LHR-03,Lahore,2026-05-25,Fries,Sides,1,256.42,256.42,2026-05-25,1008
1085,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,3,3617.47,3617.47,2026-05-25,1008
1086,LHR-03,Lahore,2026-05-25,Nihari,Main Course,2,1992.02,1992.02,2026-05-25,1008
1087,LHR-03,Lahore,2026-05-25,Chapli Kabab,BBQ,2,1350.86,1350.86,2026-05-25,1008
1088,LHR-03,Lahore,2026-05-25,Soft Drink,Beverages,1,118.03,118.03,2026-05-25,1008
1089,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,1,1176.47,1176.47,2026-05-25,1008
1090,LHR-03,Lahore,2026-05-25,Zinger Wrap,Wraps,2,1019.51,1019.51,2026-05-25,1008
1091,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,2,2435.53,2435.53,2026-05-25,1008
1092,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,1,1215.66,1215.66,2026-05-25,1008
1093,LHR-03,Lahore,2026-05-25,Zinger Wrap,Wraps,1,550.14,550.14,2026-05-25,1008
1094,LHR-03,Lahore,2026-05-25,Chicken Karahi,Main Course,1,1185.92,1185.92,2026-05-25,1008
1095,KHI-01,Karachi,2026-05-26,Zinger Burger,Burgers,1,636.33,636.33,2026-05-25,1439
1096,KHI-01,Karachi,2026-05-26,Chicken Karahi,Main Course,3,3538.31,3538.31,2026-05-25,1439
1097,KHI-01,Karachi,2026-05-26,Soft Drink,Beverages,1,115.19,115.19,2026-05-25,1439
1098,KHI-01,Karachi,2026-05-26,Beef Biryani,Rice,3,1428.39,1428.39,2026-05-25,1439
1099,KHI-01,Karachi,2026-05-26,Soft Drink,Beverages,1,122.42,122.42,2026-05-25,1439
1100,KHI-01,Karachi,2026-05-26,Soft Drink,Beverages,2,262.63,262.63,2026-05-25,1439
1101,KHI-01,Karachi,2026-05-26,Chicken Karahi,Main Course,1,1210.47,1210.47,2026-05-25,1439
1102,KHI-01,Karachi,2026-05-26,Chicken Karahi,Main Course,2,2430.91,2430.91,2026-05-25,1439
1103,KHI-01,Karachi,2026-05-26,Fries,Sides,2,498.14,498.14,2026-05-25,1439
1104,KHI-01,Karachi,2026-05-26,Zinger Burger,Burgers,3,1762.92,1762.92,2026-05-25,1439
1105,KHI-01,Karachi,2026-05-26,Zinger Wrap,Wraps,3,1647.81,1647.81,2026-05-25,1439
1106,KHI-01,Karachi,2026-05-26,Chapli Kabab,BBQ,1,702.11,702.11,2026-05-25,1439
1107,KHI-01,Karachi,2026-05-26,Chicken Karahi,Main Course,1,1347.79,1347.79,2026-05-25,1439
1108,KHI-02,Karachi,2026-05-26,Chicken Karahi,Main Course,2,2436.19,2436.19,2026-05-25,1307
1109,KHI-02,Karachi,2026-05-26,Soft Drink,Beverages,1,119.79,119.79,2026-05-25,1307
1110,KHI-02,Karachi,2026-05-26,Fries,Sides,1,235.39,235.39,2026-05-25,1307
1111,KHI-02,Karachi,2026-05-26,Nihari,Main Course,2,2008.57,2008.57,2026-05-25,1307
1112,KHI-02,Karachi,2026-05-26,Chicken Karahi,Main Course,1,1245.12,1245.12,2026-05-25,1307
1113,KHI-02,Karachi,2026-05-26,Soft Drink,Beverages,2,249.49,249.49,2026-05-25,1307
1114,KHI-02,Karachi,2026-05-26,Zinger Wrap,Wraps,2,1049.98,1049.98,2026-05-25,1307
1115,KHI-02,Karachi,2026-05-26,Zinger Burger,Burgers,1,695.59,695.59,2026-05-25,1307
1116,KHI-02,Karachi,2026-05-26,Chicken Karahi,Main Course,1,1115.89,1115.89,2026-05-25,1307
